level|max_health|hour_regeneration		
5	100	5
6	105	5
7	110	6
8	120	6
9	140	7
10	160	8
11	200	10
12	230	12
13	260	13
14	320	16
15	370	19
16	425	21
17	480	24
18	550	28
19	620	31
20	700	35
21	770	39
22	860	43
23	950	48
24	1000	50
25	1100	55
26	1250	63
27	1350	68
28	1450	73
29	1550	78
30	1700	85
31	1850	93
32	1900	95
33	2100	105
34	2270	114
35	2420	121
36	2575	129
37	2730	137
38	2900	145
39	3070	154
40	3200	160
41	3425	171
42	3600	180
43	3795	190
44	4000	200
45	4195	210
46	4400	220
47	4610	231
48	4825	241
49	5005	250
50	5270	264
51	5500	275
52	5735	287
53	5975	299
54	6220	311
55	6470	324
56	6725	336
57	6985	349
58	7250	363
59	7520	376
60	7795	390
61	8075	404
62	8350	418
63	8600	430
64	8945	447
65	9245	462
66	9550	478
67	9860	493
68	10175	509
69	10495	525
70	10820	541
71	11150	558
72	11500	575
73	11825	591
74	12170	609
75	12520	626
76	12870	644
77	13230	662
78	13600	680
79	13970	699
80	14345	717
81	14725	736
82	15110	756
83	15500	775
84	15905	795
85	16295	815
86	16700	835
87	17105	855
88	17525	876
89	17945	897
90	18370	919
91	18800	940
92	19225	961
93	19675	984
94	20120	1006
95	20570	1029
96	21035	1052
97	21495	1075
98	21950	1098
99	22430	1122
100	22895	1145
101	23375	1169
102	23860	1193
103	24350	1218
104	24845	1242
105	25345	1267
106	25900	1295
107	26400	1320
108	26875	1344
109	27395	1370
110	27920	1396
111	28450	1423
112	28995	1450
113	29535	1477
114	30070	1504
115	30620	1531
116	31175	1559
117	31735	1587
118	32300	1615
119	32870	1644
120	33445	1672
121	34025	1701
122	34605	1730
123	35200	1760
124	35805	1790
125	36420	1821
126	37000	1850
127	37605	1880
128	38225	1911
129	38855	1943
130	39470	1974
131	40100	2005
132	40735	2037
133	41375	2069
134	42020	2101
135	42670	2134
136	43325	2166
137	43995	2200
138	44650	2233
139	45320	2266
140	46005	2300
141	46675	2334
142	47360	2368
143	48050	2403
144	48755	2438
145	49455	2473
146	50150	2508
147	50670	2534
148	51585	2579
149	52320	2616
150	53030	2652
151	53760	2688
152	54500	2725
153	55235	2762
154	55980	2799
155	56730	2837
156	57485	2874
157	58245	2912
158	59000	2950
159	59770	2989
160	60555	3028
161	61335	3067
162	62110	3106
163	62900	3145
164	63720	3186
165	64515	3226
166	65300	3265
167	66110	3306
168	66935	3347
169	67755	3388
170	68570	3429
171	69400	3470
172	70245	3512
173	71070	3554
174	71910	3596
175	72770	3639
176	73625	3681
177	74495	3725
178	75350	3768
179	76220	3811
180	77125	3856
181	77985	3899
182	78865	3943
183	79780	3989
184	80670	4034
185	81600	4080
186	82500	4125
187	83450	4173
188	84285	4214
189	85225	4261
190	86120	4306
191	87050	4353
192	87995	4400
193	88925	4446
194	89870	4494
195	90820	4541
196	91785	4589
197	92745	4637
198	93710	4686
199	94670	4734
200	95655	4783
201	96625	4831
202	97620	4881
203	98610	4931
204	99625	4981
205	100625	5031
206	101610	5081
207	102610	5131
208	103640	5182
209	104660	5233
210	105670	5284
211	106700	5335
212	107800	5390
213	108900	5445
214	109900	5495
215	110870	5544
216	111900	5595
217	112995	5650
218	114100	5705
219	115120	5756
220	116210	5811
221	117300	5865
222	118400	5920
223	119500	5975
224	120500	6025
225	121700	6085
226	122800	6140
227	123900	6195
228	124950	6248
229	126150	6308
230	127230	6362
231	128450	6423
232	129500	6475
233	130700	6535
234	131800	6590
235	132955	6648
236	134100	6705
237	135350	6768
238	136455	6823
239	137585	6879
240	138800	6940
241	139900	6995
242	141100	7055
243	142300	7115
244	143650	7183
245	144750	7238
246	145900	7295
247	147105	7355
248	148335	7417
249	149555	7478
250	150755	7538
251	152010	7601
252	153235	7662
253	154505	7725
254	155730	7787
255	156980	7849
256	158235	7912
257	159500	7975
258	160780	8039
259	162030	8102
260	163335	8167
261	164585	8229
262	165890	8295
263	167200	8360
264	168500	8425
265	169700	8485
266	171100	8555
267	172405	8620
268	173700	8685
269	175105	8755
270	176335	8817
